(0.5560538116591929, 0.5816135084427767, 0.5685465382851903, 620, 495, 446)
(0.5710172744721689, 0.5581613508442776, 0.564516129032258, 595, 447, 471)
(0.5704824976348155, 0.5656660412757973, 0.5680640602920395, 603, 454, 463)
(0.5605095541401274, 0.5778611632270169, 0.5690531177829099, 616, 483, 450)
(0.5747126436781609, 0.5628517823639775, 0.5687203791469195, 600, 444, 466)
(0.5660377358490566, 0.5628517823639775, 0.5644402634054563, 600, 460, 466)
(0.573055028462998, 0.5666041275797373, 0.569811320754717, 604, 450, 462)
(0.5687903970452447, 0.5778611632270169, 0.5732899022801303, 616, 467, 450)
(0.5646511627906977, 0.5694183864915572, 0.5670247547874825, 607, 468, 459)
(0.5696798493408662, 0.5675422138836773, 0.568609022556391, 605, 457, 461)
(0.572617946345976, 0.5806754221388368, 0.5766185374941779, 619, 462, 447)
(0.5764362220058422, 0.5553470919324578, 0.5656951743908266, 592, 435, 474)
(0.5587155963302752, 0.5712945590994372, 0.564935064935065, 609, 481, 457)
(0.5512934879571811, 0.5797373358348968, 0.5651577503429356, 618, 503, 448)
(0.56353591160221, 0.574108818011257, 0.5687732342007435, 612, 474, 454)
(0.561631139944393, 0.5684803001876173, 0.5650349650349651, 606, 473, 460)
(0.5592760180995475, 0.5797373358348968, 0.5693228926761862, 618, 487, 448)
(0.5718390804597702, 0.5600375234521576, 0.5658767772511849, 597, 447, 469)
(0.5696682464454976, 0.5637898686679175, 0.5667138142385668, 601, 454, 465)
(0.5586334256694367, 0.5675422138836773, 0.5630525825965566, 605, 478, 461)

(0.572936660268714, 0.5600375234521576, 0.5664136622390892, 597, 445, 469)
(0.5657657657657658, 0.5891181988742964, 0.5772058823529412, 628, 482, 438)
(0.5359531772575251, 0.6013133208255159, 0.5667550839964633, 641, 555, 425)
(0.5658627087198516, 0.5722326454033771, 0.5690298507462687, 610, 468, 456)
(0.5696913002806361, 0.5712945590994372, 0.5704918032786885, 609, 460, 457)
(0.5683520599250936, 0.5694183864915572, 0.5688847235238987, 607, 461, 459)
(0.558076225045372, 0.5769230769230769, 0.5673431734317342, 615, 487, 451)
(0.5611111111111111, 0.5684803001876173, 0.5647716682199442, 606, 474, 460)
(0.5659133709981168, 0.5637898686679175, 0.5648496240601504, 601, 461, 465)
(0.564173591874423, 0.573170731707317, 0.5686365751512331, 611, 472, 455)
(0.5745283018867925, 0.5712945590994372, 0.5729068673565381, 609, 451, 457)
(0.5663551401869159, 0.5684803001876173, 0.5674157303370788, 606, 464, 460)
(0.5577439570277529, 0.5844277673545967, 0.5707741639945031, 623, 494, 443)
(0.5541516245487365, 0.575984990619137, 0.564857405703772, 614, 494, 452)
(0.5619223659889094, 0.5703564727954972, 0.5661080074487895, 608, 474, 458)
(0.5691736304549675, 0.575046904315197, 0.5720951936537564, 613, 464, 453)
(0.5664845173041895, 0.5834896810506567, 0.5748613678373382, 622, 476, 444)
(0.5524663677130045, 0.5778611632270169, 0.5648784961027051, 616, 499, 450)
(0.5609981515711645, 0.5694183864915572, 0.5651769087523277, 607, 475, 459)
(0.5499557913351016, 0.5834896810506567, 0.5662266727355485, 622, 509, 444)


(0.576171875, 0.5534709193245778, 0.5645933014354068, 590, 434, 476)
(0.5535714285714286, 0.5816135084427767, 0.5672461116193962, 620, 500, 446)
(0.5340406719717065, 0.5666041275797373, 0.5498406918525263, 604, 527, 462)
(0.5591985428051002, 0.575984990619137, 0.5674676524953789, 614, 484, 452)
(0.5734732824427481, 0.5637898686679175, 0.5685903500473037, 601, 447, 465)
(0.5491379310344827, 0.5975609756097561, 0.5723270440251572, 637, 523, 429)
(0.5402714932126697, 0.5600375234521576, 0.5499769691386458, 597, 508, 469)
(0.5655893536121673, 0.5581613508442776, 0.5618508026440038, 595, 457, 471)
(0.56, 0.5647279549718575, 0.5623540401681457, 602, 473, 464)
(0.5706267539756782, 0.5722326454033771, 0.5714285714285715, 610, 459, 456)
(0.5236486486486487, 0.5816135084427767, 0.5511111111111111, 620, 564, 446)
(0.5518783542039356, 0.5787992495309568, 0.565018315018315, 617, 501, 449)
(0.5333333333333333, 0.5778611632270169, 0.554705087798289, 616, 539, 450)
(0.553873552983081, 0.5834896810506567, 0.5682960255824577, 622, 501, 444)
(0.5388556789069172, 0.5919324577861164, 0.5641484130531962, 631, 540, 435)
(0.5675422138836773, 0.5675422138836773, 0.5675422138836773, 605, 461, 461)
(0.5637707948243993, 0.5722326454033771, 0.5679702048417132, 610, 472, 456)
(0.5643656716417911, 0.5675422138836773, 0.5659494855004678, 605, 467, 461)
(0.5636025998142989, 0.5694183864915572, 0.5664955669622024, 607, 470, 459)
